"The best hit (protein with highest percent identity) of the blastp results from the proteome of the major clonal complex  of the protein conservation analysis in Chapter 6. Subject_id: protein of the isolate along with the locus tag of the prokka output, CC : clonal complex, pct_identity: identity percentage, aln_length: aligned length of the protein, n_of_mismatches: no of mismatches, gap_openings: number of gaps found in the sequence when aligned, q_start: starting position of the query(potential vaccine candidate proteins) when aligned with subject protein, q_end: end position of the query,  s_start: starting position of the subject when aligned with query protein, s_end: ending position of the subject, e_value: number of expected hits of similar quality (score) that could be found just by chance, bit_score: sequence similarity independent of query sequence length and database size and is normalized based on the rawpairwise alignment score."													
													
													
													
													
													
													
													
													
Bifunctional autolysin (Atl)													
subject_id	CC	pct_identity	aln_length	n_of_mismatches	gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score		
B076_F59_Y18_CC1_00835	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B078_F61_Y18_CC1_00170	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B082_F63_Y18_CC1_00173	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B083_F63_Y18_CC1_00170	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B084_F64_Y18_CC1_00647	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B085_F65_Y18_CC1_02416	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B086_F66_Y18_CC1_01029	CC1	99.92	1256	1	0	1	1256	1	1256	0	2534		
B087_F65_Y18_CC1_01646	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B088_F65_Y18_CC1_00179	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B089_F65_Y18_CC1_00077	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B090_F67_Y18_CC1_02318	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B091_F67_Y18_CC1_02295	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B092_F65_Y18_CC1_02465	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B093_F65_Y18_CC1_01252	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B094_F65_Y18_CC1_00226	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B095_F68_Y18_CC1_00764	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B096_F68_Y18_CC1_01277	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B097_F63_Y18_CC1_00103	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B098_F69_Y18_CC1_00963	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B099_F69_Y18_CC1_00174	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B100_F64_Y18_CC1_00172	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B101_F64_Y18_CC1_00880	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B102_F65_Y18_CC1_00440	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B103_F65_Y18_CC1_00845	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B104_F65_Y18_CC1_02348	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B105_F65_Y18_CC1_02391	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B106_F65_Y18_CC1_00174	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B107_F70_Y18_CC1_01128	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B108_F62_Y18_CC1_00170	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B109_F62_Y18_CC1_01850	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B111_F70_Y18_CC1_00846	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B112_F70_Y18_CC1_02382	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B113_F70_Y18_CC1_00882	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B114_F66_Y18_CC1_02513	CC1	99.92	1256	1	0	1	1256	1	1256	0	2534		
B115_F65_Y18_CC1_00171	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B119_F62_Y18_CC1_02410	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B121_F62_Y18_CC1_00551	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B122_F71_Y18_CC1_02526	CC1	99.92	1256	1	0	1	1256	1	1256	0	2533		
B123_F69_Y18_CC1_00388	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B124_F69_Y18_CC1_02178	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B125_F72_Y18_CC1_00445	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B126_F73_Y18_CC1_01876	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B127_F63_Y18_CC1_00385	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B128_F63_Y18_CC1_01126	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B129_F63_Y18_CC1_00481	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B130_F74_Y02_CC1_02304	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B133_F77_Y02_CC1_00207	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B136_F80_Y02_CC1_00354	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B139_F83_Y02_CC1_02431	CC1	99.522	1256	0	1	1	1256	1	1250	0	2516		
B140_F84_Y02_CC1_00324	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B142_F86_Y02_CC1_02394	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B143_F87_Y02_CC1_00577	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B144_F88_Y02_CC1_02370	CC1	99.92	1256	1	0	1	1256	1	1256	0	2534		
B146_F90_Y02_CC1_00171	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B147_F91_Y02_CC1_00106	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B148_F92_Y02_CC1_02509	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B149_F93_Y02_CC1_01367	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B150_F94_Y02_CC1_00271	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B152_F96_Y02_CC1_00716	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B153_F97_Y02_CC1_01706	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B154_F98_Y02_CC1_00835	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B155_F99_Y02_CC1_00173	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B156_F100_Y02_CC1_01141	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B157_F101_Y02_CC1_00169	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B159_F103_Y02_CC1_00811	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B160_F104_Y02_CC1_00732	CC1	99.92	1256	1	0	1	1256	1	1256	0	2531		
B161_F105_Y02_CC1_00417	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B162_F106_Y02_CC1_00171	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B163_F107_Y02_CC1_01181	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B165_F109_Y02_CC1_02294	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B166_F111_Y02_CC1_00106	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B167_F112_Y02_CC1_02437	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B168_F113_Y02_CC1_00166	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B169_F114_Y02_CC1_00588	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B170_F115_Y02_CC1_02464	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B171_F116_Y02_CC1_00232	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B172_F117_Y02_CC1_00077	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B173_F118_Y02_CC1_00171	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B174_F119_Y02_CC1_01385	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B175_F120_Y02_CC1_00678	CC1	99.92	1256	1	0	1	1256	1	1256	0	2532		
B177_F122_Y02_CC1_02448	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B178_F123_Y02_CC1_00213	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B181_F126_Y02_CC1_00589	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B182_F127_Y02_CC1_01810	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B183_F128_Y02_CC1_00326	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B185_F130_Y02_CC1_00480	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B186_F131_Y02_CC1_00170	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B187_F132_Y02_CC1_00123	CC1	100	1256	0	0	1	1256	1	1256	0	2535		
B188_F133_Y02_CC1_00546	CC1	99.805	512	1	0	745	1256	1	512	0	1040		
B027_F21_Y13_CC133_00471	CC133	99.444	1259	4	1	1	1256	1	1259	0	2524		
B176_F121_Y02_CC133_00617	CC133	99.463	745	4	0	512	1256	1	745	0	1496		
B068_F56_Y18_CC151_01416	CC151	98.416	1263	13	1	1	1256	1	1263	0	2508		
B071_F57_Y18_CC151_00987	CC151	98.416	1263	13	1	1	1256	1	1263	0	2508		
B134_F78_Y02_CC151_02183	CC151	99.045	1256	12	0	1	1256	1	1256	0	2515		
B145_F89_Y02_CC151_00309	CC151	98.965	1256	13	0	1	1256	1	1256	0	2513		
B151_F95_Y02_CC151_00308	CC151	98.416	1263	13	1	1	1256	1	1263	0	2508		
B179_F124_Y02_CC151_01084	CC151	98.416	1263	13	1	1	1256	1	1263	0	2508		
B184_F129_Y02_CC151_01612	CC151	98.965	1256	13	0	1	1256	1	1256	0	2513		
B001_F01_Y13_CC8_00169	CC8	99.761	1256	3	0	1	1256	1	1256	0	2530		
B002_F01_Y13_CC8_00169	CC8	99.761	1256	3	0	1	1256	1	1256	0	2530		
B013_F09_Y13_CC8_00170	CC8	99.682	1256	4	0	1	1256	1	1256	0	2529		
B031_F25_Y13_CC8_01137	CC8	99.841	1256	2	0	1	1256	1	1256	0	2531		
B135_F79_Y02_CC8_02040	CC8	99.841	1256	2	0	1	1256	1	1256	0	2531		
B138_F82_Y02_CC8_01678	CC8	99.761	1256	3	0	1	1256	1	1256	0	2528		
B005_F04_Y13_CC97_01081	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B019_F14_Y13_CC97_01277	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B025_F13_Y13_CC97_01234	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B026_F20_Y13_CC97_01575	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B029_F23_Y13_CC97_01580	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B034_F19_Y13_CC97_01371	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B046_F35_Y13_CC97_01482	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B047_F36_Y13_CC97_00853	CC97	99.682	1256	4	0	1	1256	1	1256	0	2527		
B062_F49_Y13_CC97_01629	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B067_F55_Y18_CC97_01188	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B069_F55_Y18_CC97_00912	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B073_F55_Y18_CC97_01546	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B074_F55_Y18_CC97_02085	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B077_F60_Y18_CC97_01196	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B079_F62_Y18_CC97_01355	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B080_F62_Y18_CC97_01831	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B081_F62_Y18_CC97_01757	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B110_F62_Y18_CC97_01397	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B116_F62_Y18_CC97_01220	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B117_F62_Y18_CC97_00540	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B118_F62_Y18_CC97_01945	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B120_F62_Y18_CC97_00510	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B131_F75_Y02_CC97_01201	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B141_F85_Y02_CC97_01306	CC97	99.682	1256	4	0	1	1256	1	1256	0	2529		
B158_F102_Y02_CC97_01604	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B164_F108_Y02_CC97_02139	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
B180_F125_Y02_CC97_00469	CC97	99.761	1256	3	0	1	1256	1	1256	0	2530		
													
Cell division protein (DivIB)													
subject_id	CC	pct_identity	aln_length	n_of_mismatches	gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score		
B003_F02_Y13_CC1_02438	CC1	100	439	0	0	1	439	1	439	0	883		
B004_F03_Y13_CC1_02587	CC1	100	439	0	0	1	439	1	439	0	883		
B006_F05_Y13_CC1_02480	CC1	100	439	0	0	1	439	1	439	0	883		
B007_F02_Y13_CC1_02470	CC1	100	439	0	0	1	439	1	439	0	883		
B008_F05_Y13_CC1_02383	CC1	100	439	0	0	1	439	1	439	0	883		
B009_F07_Y13_CC1_01166	CC1	100	439	0	0	1	439	1	439	0	883		
B010_F07_Y13_CC1_01154	CC1	100	439	0	0	1	439	1	439	0	883		
B011_F03_Y13_CC1_02348	CC1	100	439	0	0	1	439	1	439	0	883		
B012_F08_Y13_CC1_02126	CC1	100	439	0	0	1	439	1	439	0	883		
B014_F10_Y13_CC1_00908	CC1	100	439	0	0	1	439	1	439	0	883		
B016_F12_Y13_CC1_02338	CC1	100	439	0	0	1	439	1	439	0	883		
B017_F134_Y13_CC1_00468	CC1	100	439	0	0	1	439	1	439	0	883		
B018_F13_Y13_CC1_02458	CC1	100	439	0	0	1	439	1	439	0	883		
B020_F15_Y13_CC1_00560	CC1	100	439	0	0	1	439	1	439	0	883		
B021_F16_Y13_CC1_00370	CC1	100	439	0	0	1	439	1	439	0	883		
B022_F17_Y13_CC1_01439	CC1	100	439	0	0	1	439	1	439	0	883		
B024_F19_Y13_CC1_00056	CC1	100	439	0	0	1	439	1	439	0	883		
B028_F22_Y13_CC1_00406	CC1	100	439	0	0	1	439	1	439	0	883		
B030_F24_Y13_CC1_00482	CC1	100	439	0	0	1	439	1	439	0	883		
B032_F26_Y13_CC1_01658	CC1	100	439	0	0	1	439	1	439	0	883		
B033_F08_Y13_CC1_00203	CC1	100	439	0	0	1	439	1	439	0	883		
B035_F27_Y13_CC1_02547	CC1	100	439	0	0	1	439	1	439	0	883		
B036_F27_Y13_CC1_02113	CC1	100	439	0	0	1	439	1	439	0	883		
B037_F28_Y13_CC1_00169	CC1	100	439	0	0	1	439	1	439	0	883		
B038_F29_Y13_CC1_01930	CC1	100	439	0	0	1	439	1	439	0	883		
B039_F29_Y13_CC1_00559	CC1	100	439	0	0	1	439	1	439	0	883		
B040_F30_Y13_CC1_00594	CC1	100	439	0	0	1	439	1	439	0	883		
B041_F31_Y13_CC1_00598	CC1	100	439	0	0	1	439	1	439	0	883		
B042_F32_Y13_CC1_00322	CC1	100	439	0	0	1	439	1	439	0	883		
B043_F33_Y13_CC1_00738	CC1	100	439	0	0	1	439	1	439	0	883		
B044_F33_Y13_CC1_02520	CC1	100	439	0	0	1	439	1	439	0	883		
B045_F34_Y13_CC1_02474	CC1	100	439	0	0	1	439	1	439	0	883		
B047_F37_Y13_CC1_00575	CC1	100	439	0	0	1	439	1	439	0	883		
B048_F37_Y13_CC1_02564	CC1	100	439	0	0	1	439	1	439	0	883		
B050_F39_Y13_CC1_00852	CC1	100	439	0	0	1	439	1	439	0	883		
B051_F40_Y13_CC1_00500	CC1	100	439	0	0	1	439	1	439	0	883		
B052_F41_Y13_CC1_01276	CC1	100	439	0	0	1	439	1	439	0	883		
B053_F06_Y13_CC1_00406	CC1	100	439	0	0	1	439	1	439	0	883		
B054_F42_Y13_CC1_00860	CC1	100	439	0	0	1	439	1	439	0	883		
B055_F43_Y13_CC1_00128	CC1	100	439	0	0	1	439	1	439	0	883		
B056_F44_Y13_CC1_00567	CC1	100	439	0	0	1	439	1	439	0	883		
B057_F45_Y13_CC1_02550	CC1	100	439	0	0	1	439	1	439	0	883		
B058_F46_Y13_CC1_00530	CC1	99.772	439	1	0	1	439	1	439	0	881		
B059_F47_Y13_CC1_02566	CC1	100	439	0	0	1	439	1	439	0	883		
B060_F48_Y13_CC1_00011	CC1	100	439	0	0	1	439	1	439	0	883		
B061_F48_Y13_CC1_01167	CC1	100	439	0	0	1	439	1	439	0	883		
B063_F50_Y13_CC1_02293	CC1	100	439	0	0	1	439	1	439	0	883		
B064_F51_Y13_CC1_02311	CC1	100	439	0	0	1	439	1	439	0	883		
B065_F52_Y13_CC1_01214	CC1	100	439	0	0	1	439	1	439	0	883		
B066_F54_Y18_CC1_02285	CC1	100	439	0	0	1	439	1	439	0	883		
B070_F54_Y18_CC1_00470	CC1	100	439	0	0	1	439	1	439	0	883		
B076_F59_Y18_CC1_00551	CC1	100	439	0	0	1	439	1	439	0	883		
B078_F61_Y18_CC1_02385	CC1	100	439	0	0	1	439	1	439	0	883		
B082_F63_Y18_CC1_02468	CC1	100	439	0	0	1	439	1	439	0	883		
B083_F63_Y18_CC1_02413	CC1	100	439	0	0	1	439	1	439	0	883		
B084_F64_Y18_CC1_02390	CC1	100	439	0	0	1	439	1	439	0	883		
B085_F65_Y18_CC1_01013	CC1	100	439	0	0	1	439	1	439	0	883		
B086_F66_Y18_CC1_02369	CC1	100	439	0	0	1	439	1	439	0	883		
B087_F65_Y18_CC1_01302	CC1	100	439	0	0	1	439	1	439	0	883		
B088_F65_Y18_CC1_02561	CC1	100	439	0	0	1	439	1	439	0	883		
B089_F65_Y18_CC1_02405	CC1	100	439	0	0	1	439	1	439	0	883		
B090_F67_Y18_CC1_02145	CC1	100	439	0	0	1	439	1	439	0	883		
B091_F67_Y18_CC1_00784	CC1	100	439	0	0	1	439	1	439	0	883		
B092_F65_Y18_CC1_00903	CC1	100	439	0	0	1	439	1	439	0	883		
B093_F65_Y18_CC1_01863	CC1	100	439	0	0	1	439	1	439	0	883		
B094_F65_Y18_CC1_01257	CC1	100	439	0	0	1	439	1	439	0	883		
B095_F68_Y18_CC1_00959	CC1	100	439	0	0	1	439	1	439	0	883		
B096_F68_Y18_CC1_02481	CC1	100	439	0	0	1	439	1	439	0	883		
B097_F63_Y18_CC1_01018	CC1	100	439	0	0	1	439	1	439	0	883		
B098_F69_Y18_CC1_01004	CC1	100	439	0	0	1	439	1	439	0	883		
B099_F69_Y18_CC1_02430	CC1	100	439	0	0	1	439	1	439	0	883		
B100_F64_Y18_CC1_00887	CC1	100	439	0	0	1	439	1	439	0	883		
B101_F64_Y18_CC1_01861	CC1	100	439	0	0	1	439	1	439	0	883		
B102_F65_Y18_CC1_02328	CC1	100	439	0	0	1	439	1	439	0	883		
B103_F65_Y18_CC1_02106	CC1	100	439	0	0	1	439	1	439	0	883		
B104_F65_Y18_CC1_02308	CC1	100	439	0	0	1	439	1	439	0	883		
B105_F65_Y18_CC1_02220	CC1	100	439	0	0	1	439	1	439	0	883		
B106_F65_Y18_CC1_00371	CC1	100	439	0	0	1	439	1	439	0	883		
B107_F70_Y18_CC1_01832	CC1	100	439	0	0	1	439	1	439	0	883		
B108_F62_Y18_CC1_01701	CC1	100	439	0	0	1	439	1	439	0	883		
B109_F62_Y18_CC1_01220	CC1	100	439	0	0	1	439	1	439	0	883		
B111_F70_Y18_CC1_01533	CC1	100	439	0	0	1	439	1	439	0	883		
B112_F70_Y18_CC1_01540	CC1	100	439	0	0	1	439	1	439	0	883		
B113_F70_Y18_CC1_02353	CC1	100	439	0	0	1	439	1	439	0	883		
B114_F66_Y18_CC1_02279	CC1	100	439	0	0	1	439	1	439	0	883		
B115_F65_Y18_CC1_02319	CC1	100	439	0	0	1	439	1	439	0	883		
B119_F62_Y18_CC1_01181	CC1	100	439	0	0	1	439	1	439	0	883		
B121_F62_Y18_CC1_01899	CC1	100	439	0	0	1	439	1	439	0	883		
B122_F71_Y18_CC1_01317	CC1	100	439	0	0	1	439	1	439	0	883		
B123_F69_Y18_CC1_02462	CC1	100	439	0	0	1	439	1	439	0	883		
B124_F69_Y18_CC1_01251	CC1	100	439	0	0	1	439	1	439	0	883		
B125_F72_Y18_CC1_01145	CC1	100	439	0	0	1	439	1	439	0	883		
B126_F73_Y18_CC1_01742	CC1	100	439	0	0	1	439	1	439	0	883		
B127_F63_Y18_CC1_02282	CC1	100	439	0	0	1	439	1	439	0	883		
B128_F63_Y18_CC1_01825	CC1	100	439	0	0	1	439	1	439	0	883		
B129_F63_Y18_CC1_02016	CC1	100	439	0	0	1	439	1	439	0	883		
B130_F74_Y02_CC1_01497	CC1	100	439	0	0	1	439	1	439	0	883		
B133_F77_Y02_CC1_00336	CC1	100	439	0	0	1	439	1	439	0	883		
B136_F80_Y02_CC1_02091	CC1	100	439	0	0	1	439	1	439	0	883		
B139_F83_Y02_CC1_01815	CC1	100	439	0	0	1	439	1	439	0	883		
B140_F84_Y02_CC1_00194	CC1	100	439	0	0	1	439	1	439	0	883		
B142_F86_Y02_CC1_01504	CC1	100	439	0	0	1	439	1	439	0	883		
B143_F87_Y02_CC1_02409	CC1	100	439	0	0	1	439	1	439	0	883		
B144_F88_Y02_CC1_01636	CC1	100	439	0	0	1	439	1	439	0	883		
B146_F90_Y02_CC1_02445	CC1	100	439	0	0	1	439	1	439	0	883		
B147_F91_Y02_CC1_02216	CC1	100	439	0	0	1	439	1	439	0	883		
B148_F92_Y02_CC1_02048	CC1	100	439	0	0	1	439	1	439	0	883		
B149_F93_Y02_CC1_02460	CC1	100	439	0	0	1	439	1	439	0	883		
B150_F94_Y02_CC1_02300	CC1	100	439	0	0	1	439	1	439	0	883		
B152_F96_Y02_CC1_00548	CC1	100	439	0	0	1	439	1	439	0	883		
